"munnom","regadm","mpopul","msuperf"
"Port-Cartier","Côte-Nord (09)",6574,1371.8
"Port-Daniel--Gascons","Gaspésie--Îles-de-la-Madeleine (11)",2236,334.8
"Portneuf","Capitale-Nationale (03)",3240,117.2
"Portneuf-sur-Mer","Côte-Nord (09)",613,210.1
"Potton","Estrie (05)",1817,277.4
"Poularies","Abitibi-Témiscamingue (08)",692,169.7
"Preissac","Abitibi-Témiscamingue (08)",900,506.3
"Prévost","Laurentides (15)",13328,35.2
"Price","Bas-Saint-Laurent (01)",1751,2.5
"Princeville","Centre-du-Québec (17)",6230,197
"Puvirnituq","Nord-du-Québec (10)",1902,111.4
"Quaqtaq","Nord-du-Québec (10)",441,26.5
"Québec","Capitale-Nationale (03)",546958,485.2
"Racine","Estrie (05)",1372,107.4
"Ragueneau","Côte-Nord (09)",1324,215.4
"Rapide-Danseur","Abitibi-Témiscamingue (08)",336,185.7
"Rapides-des-Joachims","Outaouais (07)",149,257.4
"Rawdon","Lanaudière (14)",11402,193
"Rémigny","Abitibi-Témiscamingue (08)",265,997.3
"Repentigny","Lanaudière (14)",85751,71.2
"Richelieu","Montérégie (16)",5479,32.4
"Richmond","Estrie (05)",3265,7
"Rigaud","Montérégie (16)",7970,113.7
"Rimouski","Bas-Saint-Laurent (01)",49507,533.6
"Ripon","Outaouais (07)",1617,136.8
"Ristigouche-Partie-Sud-Est","Gaspésie--Îles-de-la-Madeleine (11)",164,53.8
"Rivière-à-Claude","Gaspésie--Îles-de-la-Madeleine (11)",125,156.2
"Rivière-à-Pierre","Capitale-Nationale (03)",550,537.8
"Rivière-au-Tonnerre","Côte-Nord (09)",264,641.7
"Rivière-Beaudette","Montérégie (16)",2321,25.2
"Rivière-Bleue","Bas-Saint-Laurent (01)",1198,182
"Rivière-du-Loup","Bas-Saint-Laurent (01)",20017,140.1
"Rivière-Éternité","Saguenay--Lac-Saint-Jean (02)",412,528.5
"Rivière-Héva","Abitibi-Témiscamingue (08)",1496,492.9
"Rivière-Ouelle","Bas-Saint-Laurent (01)",967,147.9
"Rivière-Rouge","Laurentides (15)",4430,499.6
"Rivière-Saint-Jean","Côte-Nord (09)",211,743.3
"Roberval","Saguenay--Lac-Saint-Jean (02)",9886,202.5
"Rochebaucourt","Abitibi-Témiscamingue (08)",130,184.9
"Roquemaure","Abitibi-Témiscamingue (08)",405,154
"Rosemère","Laurentides (15)",13963,12.2
"Rougemont","Montérégie (16)",2819,44.4
"Rouyn-Noranda","Abitibi-Témiscamingue (08)",43011,6483.7
"Roxton","Montérégie (16)",1091,149.9
"Roxton Falls","Montérégie (16)",1310,5.1
"Roxton Pond","Montérégie (16)",4092,103.1
"Sacré-Coeur","Côte-Nord (09)",1790,341.1
"Sacré-Coeur-de-Jésus","Chaudière-Appalaches (12)",536,105
"Saguenay","Saguenay--Lac-Saint-Jean (02)",146606,1291.4
"Saint-Adalbert","Chaudière-Appalaches (12)",485,218.8
"Saint-Adelme","Bas-Saint-Laurent (01)",505,102.4
"Saint-Adelphe","Mauricie (04)",945,139.1
"Saint-Adolphe-d'Howard","Laurentides (15)",3526,149
"Saint-Adrien","Estrie (05)",515,98.6
"Saint-Adrien-d'Irlande","Chaudière-Appalaches (12)",396,53
"Saint-Agapit","Chaudière-Appalaches (12)",4457,64.2
"Saint-Aimé","Montérégie (16)",458,62.4
"Saint-Aimé-des-Lacs","Capitale-Nationale (03)",1112,97.5
"Saint-Aimé-du-Lac-des-Îles","Laurentides (15)",785,181.9
"Saint-Alban","Capitale-Nationale (03)",1199,159.7
"Saint-Albert","Centre-du-Québec (17)",1675,70.3
"Saint-Alexandre","Montérégie (16)",2540,76
"Saint-Alexandre-de-Kamouraska","Bas-Saint-Laurent (01)",2217,117.1
"Saint-Alexandre-des-Lacs","Bas-Saint-Laurent (01)",284,91.6
"Saint-Alexis","Lanaudière (14)",1322,43.2
"Saint-Alexis-de-Matapédia","Gaspésie--Îles-de-la-Madeleine (11)",498,85
"Saint-Alexis-des-Monts","Mauricie (04)",2901,1138.7
"Saint-Alfred","Chaudière-Appalaches (12)",517,44.1
"Saint-Alphonse","Gaspésie--Îles-de-la-Madeleine (11)",707,112.2
"Saint-Alphonse-de-Granby","Montérégie (16)",3269,50
"Saint-Alphonse-Rodriguez","Lanaudière (14)",3248,105.4
"Saint-Amable","Montérégie (16)",12946,36.9
"Saint-Ambroise","Saguenay--Lac-Saint-Jean (02)",3996,151.6
"Saint-Ambroise-de-Kildare","Lanaudière (14)",3951,67.8
"Saint-Anaclet-de-Lessard","Bas-Saint-Laurent (01)",3064,129.3
"Saint-André","Bas-Saint-Laurent (01)",679,456.1
"Saint-André-Avellin","Outaouais (07)",3744,138.7
"Saint-André-d'Argenteuil","Laurentides (15)",2976,101.7
"Saint-André-de-Restigouche","Gaspésie--Îles-de-la-Madeleine (11)",155,144.1
"Saint-André-du-Lac-Saint-Jean","Saguenay--Lac-Saint-Jean (02)",466,149.4
"Saint-Anicet","Montérégie (16)",2669,179.5
"Saint-Anselme","Chaudière-Appalaches (12)",4000,75
"Saint-Antoine-de-Tilly","Chaudière-Appalaches (12)",1640,59.8
"Saint-Antoine-de-l'Isle-aux-Grues","Chaudière-Appalaches (12)",136,24.2
"Saint-Antoine-sur-Richelieu","Montérégie (16)",1706,67.9
"Saint-Antonin","Bas-Saint-Laurent (01)",4219,177.4
"Saint-Apollinaire","Chaudière-Appalaches (12)",7093,98.2
"Saint-Armand","Montérégie (16)",1227,83.8
"Saint-Arsène","Bas-Saint-Laurent (01)",1221,71
"Saint-Athanase","Bas-Saint-Laurent (01)",306,292.6
"Saint-Aubert","Chaudière-Appalaches (12)",1453,100.8
"Saint-Augustin","Côte-Nord (09)",668,2087.3
"Saint-Augustin","Saguenay--Lac-Saint-Jean (02)",339,105
"Saint-Augustin-de-Desmaures","Capitale-Nationale (03)",19477,105.3
"Saint-Augustin-de-Woburn","Estrie (05)",696,283.1
"Saint-Barnabé","Mauricie (04)",1192,59.3
"Saint-Barnabé-Sud","Montérégie (16)",875,58
"Saint-Barthélemy","Lanaudière (14)",2030,107.1
"Saint-Basile","Capitale-Nationale (03)",2674,98.9
"Saint-Basile-le-Grand","Montérégie (16)",17323,36.8
"Saint-Benjamin","Chaudière-Appalaches (12)",1009,112.6
"Saint-Benoît-du-Lac","Estrie (05)",30,2.4
"Saint-Benoît-Labre","Chaudière-Appalaches (12)",1623,87.2
"Saint-Bernard","Chaudière-Appalaches (12)",2470,90.8
"Saint-Bernard-de-Lacolle","Montérégie (16)",1600,113.6
"Saint-Bernard-de-Michaudville","Montérégie (16)",598,65.8
"Saint-Blaise-sur-Richelieu","Montérégie (16)",2113,72
"Saint-Bonaventure","Centre-du-Québec (17)",1030,80.9
"Saint-Boniface","Mauricie (04)",4994,111.9
"Saint-Bruno","Saguenay--Lac-Saint-Jean (02)",2937,78
"Saint-Bruno-de-Guigues","Abitibi-Témiscamingue (08)",1125,186.5
"Saint-Bruno-de-Kamouraska","Bas-Saint-Laurent (01)",534,188.7
"Saint-Bruno-de-Montarville","Montérégie (16)",26855,43.2
"Saint-Calixte","Lanaudière (14)",6402,146.7
"Saint-Camille","Estrie (05)",536,83.6
"Saint-Camille-de-Lellis","Chaudière-Appalaches (12)",727,252
"Saint-Casimir","Capitale-Nationale (03)",1435,68.2
"Saint-Célestin","Centre-du-Québec (17)",862,1.4
"Saint-Célestin","Centre-du-Québec (17)",598,77.8
"Saint-Césaire","Montérégie (16)",5922,84
"Saint-Charles-Borromée","Lanaudière (14)",14575,18.7
"Saint-Charles-de-Bellechasse","Chaudière-Appalaches (12)",2492,95
"Saint-Charles-de-Bourget","Saguenay--Lac-Saint-Jean (02)",775,64.8
"Saint-Charles-Garnier","Bas-Saint-Laurent (01)",232,85.6
"Saint-Charles-sur-Richelieu","Montérégie (16)",1720,66.5
"Saint-Christophe-d'Arthabaska","Centre-du-Québec (17)",3095,69.3
"Saint-Chrysostome","Montérégie (16)",2721,100.5
"Saint-Claude","Estrie (05)",1190,121.5
"Saint-Clément","Bas-Saint-Laurent (01)",470,80.4
"Saint-Cléophas","Bas-Saint-Laurent (01)",333,98.5
"Saint-Cléophas-de-Brandon","Lanaudière (14)",219,15.3
"Saint-Clet","Montérégie (16)",1797,39.1
"Saint-Colomban","Laurentides (15)",17156,93.9
"Saint-Côme","Lanaudière (14)",2277,169.8
"Saint-Côme--Linière","Chaudière-Appalaches (12)",3256,152.3
"Saint-Constant","Montérégie (16)",29273,57.1
"Saint-Cuthbert","Lanaudière (14)",1869,131.5
"Saint-Cyprien","Bas-Saint-Laurent (01)",1079,141
"Saint-Cyprien","Chaudière-Appalaches (12)",488,94.3
"Saint-Cyprien-de-Napierville","Montérégie (16)",2041,98
"Saint-Cyrille-de-Lessard","Chaudière-Appalaches (12)",729,232.8
"Saint-Cyrille-de-Wendover","Centre-du-Québec (17)",4896,109.8
"Saint-Damase","Bas-Saint-Laurent (01)",347,119.6
"Saint-Damase","Montérégie (16)",2521,80.7
"Saint-Damase-de-L'Islet","Chaudière-Appalaches (12)",535,251.8
"Saint-Damien","Lanaudière (14)",2175,269.2
"Saint-Damien-de-Buckland","Chaudière-Appalaches (12)",1877,82.9
"Saint-David","Montérégie (16)",861,92.8
"Saint-David-de-Falardeau","Saguenay--Lac-Saint-Jean (02)",2880,421.9
"Saint-Denis-De La Bouteillerie","Bas-Saint-Laurent (01)",510,97.9
"Saint-Denis-de-Brompton","Estrie (05)",4385,75.3
"Saint-Denis-sur-Richelieu","Montérégie (16)",2303,86.3
"Saint-Didace","Lanaudière (14)",682,103.3
"Saint-Dominique","Montérégie (16)",2600,71
"Saint-Dominique-du-Rosaire","Abitibi-Témiscamingue (08)",445,505.2
"Saint-Donat","Lanaudière (14)",4002,389.1
"Saint-Donat","Bas-Saint-Laurent (01)",841,95.9
"Sainte-Adèle","Laurentides (15)",13495,124.5
"Sainte-Agathe-de-Lotbinière","Chaudière-Appalaches (12)",1130,167
"Sainte-Agathe-des-Monts","Laurentides (15)",10832,140.9
"Sainte-Angèle-de-Mérici","Bas-Saint-Laurent (01)",940,108.2
"Sainte-Angèle-de-Monnoir","Montérégie (16)",1770,45
"Sainte-Angèle-de-Prémont","Mauricie (04)",612,37.7
"Sainte-Anne-de-Beaupré","Capitale-Nationale (03)",2889,68.4
"Sainte-Anne-de-Bellevue","Montréal (06)",5038,11.2
"Sainte-Anne-de-la-Pérade","Mauricie (04)",1953,130.2
"Sainte-Anne-de-la-Pocatière","Bas-Saint-Laurent (01)",1606,79.5
"Sainte-Anne-de-la-Rochelle","Estrie (05)",632,61.9
"Sainte-Anne-de-Sabrevois","Montérégie (16)",2138,48.4
"Sainte-Anne-des-Lacs","Laurentides (15)",3633,27.5
"Sainte-Anne-des-Monts","Gaspésie--Îles-de-la-Madeleine (11)",6273,339.6
"Sainte-Anne-de-Sorel","Montérégie (16)",2766,58.9
"Sainte-Anne-des-Plaines","Laurentides (15)",14974,94.3
"Sainte-Anne-du-Lac","Laurentides (15)",558,345.7
"Sainte-Apolline-de-Patton","Chaudière-Appalaches (12)",536,258.4
"Sainte-Aurélie","Chaudière-Appalaches (12)",832,80.3
"Sainte-Barbe","Montérégie (16)",1424,67.3
"Sainte-Béatrix","Lanaudière (14)",2137,83.9
"Sainte-Brigide-d'Iberville","Montérégie (16)",1414,70.7
"Sainte-Brigitte-de-Laval","Capitale-Nationale (03)",8059,108.9
"Sainte-Brigitte-des-Saults","Centre-du-Québec (17)",708,71.8
"Sainte-Catherine","Montérégie (16)",17463,15.9
"Sainte-Catherine-de-Hatley","Estrie (05)",2588,99
"Sainte-Cécile-de-Lévrard","Centre-du-Québec (17)",382,32.3
"Sainte-Cécile-de-Milton","Montérégie (16)",2229,73.1
"Sainte-Cécile-de-Whitton","Estrie (05)",865,149.2
"Sainte-Christine","Montérégie (16)",712,91.6
"Sainte-Christine-d'Auvergne","Capitale-Nationale (03)",594,149.9
"Sainte-Claire","Chaudière-Appalaches (12)",3484,89.3
"Sainte-Clotilde","Montérégie (16)",2386,78.5
"Sainte-Clotilde-de-Beauce","Chaudière-Appalaches (12)",558,60.4
"Sainte-Clotilde-de-Horton","Centre-du-Québec (17)",1582,116.9
"Sainte-Croix","Chaudière-Appalaches (12)",2513,72.6
"Saint-Edmond-de-Grantham","Centre-du-Québec (17)",768,48.5
"Saint-Edmond-les-Plaines","Saguenay--Lac-Saint-Jean (02)",375,86.7
"Saint-Édouard","Montérégie (16)",1373,52.5
"Saint-Édouard-de-Fabre","Abitibi-Témiscamingue (08)",609,216.9
"Saint-Édouard-de-Lotbinière","Chaudière-Appalaches (12)",1192,98.7
"Saint-Édouard-de-Maskinongé","Mauricie (04)",716,53.9
"Sainte-Edwidge-de-Clifton","Estrie (05)",542,101.9
"Sainte-Élisabeth","Lanaudière (14)",1441,82.9
"Sainte-Élizabeth-de-Warwick","Centre-du-Québec (17)",377,51.6
"Sainte-Émélie-de-l'Énergie","Lanaudière (14)",1638,155.4
"Sainte-Eulalie","Centre-du-Québec (17)",944,86
"Sainte-Euphémie-sur-Rivière-du-Sud","Chaudière-Appalaches (12)",329,92.7
"Sainte-Famille-de-l'Île-d'Orléans","Capitale-Nationale (03)",962,50.8
"Sainte-Félicité","Bas-Saint-Laurent (01)",1106,91.5
"Sainte-Félicité","Chaudière-Appalaches (12)",364,94.4
"Sainte-Flavie","Bas-Saint-Laurent (01)",886,38.6
"Sainte-Florence","Bas-Saint-Laurent (01)",366,103.3
"Sainte-Françoise","Bas-Saint-Laurent (01)",395,90.2
"Sainte-Françoise","Centre-du-Québec (17)",451,87.5
"Sainte-Geneviève-de-Batiscan","Mauricie (04)",996,100.4
"Sainte-Geneviève-de-Berthier","Lanaudière (14)",2346,73.1
"Sainte-Germaine-Boulé","Abitibi-Témiscamingue (08)",963,111.3
"Sainte-Gertrude-Manneville","Abitibi-Témiscamingue (08)",777,320.6
"Sainte-Hedwidge","Saguenay--Lac-Saint-Jean (02)",873,479.4
"Sainte-Hélène-de-Bagot","Montérégie (16)",1691,71.3
"Sainte-Hélène-de-Chester","Centre-du-Québec (17)",401,84
"Sainte-Hélène-de-Kamouraska","Bas-Saint-Laurent (01)",893,60.9
"Sainte-Hélène-de-Mancebourg","Abitibi-Témiscamingue (08)",382,69
"Sainte-Hénédine","Chaudière-Appalaches (12)",1328,51.3
"Sainte-Irène","Bas-Saint-Laurent (01)",320,136.4
"Sainte-Jeanne-d'Arc","Saguenay--Lac-Saint-Jean (02)",1043,275.7
"Sainte-Jeanne-d'Arc","Bas-Saint-Laurent (01)",285,113.9
"Sainte-Julie","Montérégie (16)",30200,49.1
"Sainte-Julienne","Lanaudière (14)",10678,100.5
"Sainte-Justine","Chaudière-Appalaches (12)",1811,126.6
"Sainte-Justine-de-Newton","Montérégie (16)",971,84.8
"Saint-Élie-de-Caxton","Mauricie (04)",1878,130.1
"Saint-Éloi","Bas-Saint-Laurent (01)",296,66.6
"Sainte-Louise","Chaudière-Appalaches (12)",679,76.9
"Saint-Elphège","Centre-du-Québec (17)",273,42.4
"Sainte-Luce","Bas-Saint-Laurent (01)",2771,72.5
"Sainte-Lucie-de-Beauregard","Chaudière-Appalaches (12)",271,81.7
"Sainte-Lucie-des-Laurentides","Laurentides (15)",1376,111.9
"Saint-Elzéar","Chaudière-Appalaches (12)",2530,87.2
"Saint-Elzéar","Gaspésie--Îles-de-la-Madeleine (11)",440,208.6
"Saint-Elzéar-de-Témiscouata","Bas-Saint-Laurent (01)",324,151.3
"Sainte-Madeleine","Montérégie (16)",2265,5.3
"Sainte-Madeleine-de-la-Rivière-Madeleine","Gaspésie--Îles-de-la-Madeleine (11)",277,264.9
"Sainte-Marcelline-de-Kildare","Lanaudière (14)",1672,36.3
"Sainte-Marguerite","Chaudière-Appalaches (12)",1133,83.3
"Sainte-Marguerite-du-Lac-Masson","Laurentides (15)",3079,98.5
"Sainte-Marguerite-Marie","Bas-Saint-Laurent (01)",168,86.7
"Sainte-Marie","Chaudière-Appalaches (12)",13606,109.1
"Sainte-Marie-de-Blandford","Centre-du-Québec (17)",456,69.6
"Sainte-Marie-Madeleine","Montérégie (16)",2914,49.8
"Sainte-Marie-Salomé","Lanaudière (14)",1213,33.5
"Sainte-Marthe","Montérégie (16)",1030,79.9
"Sainte-Marthe-sur-le-Lac","Laurentides (15)",19467,12.8
"Sainte-Martine","Montérégie (16)",5640,64.5
"Sainte-Mélanie","Lanaudière (14)",3142,78.4
"Saint-Émile-de-Suffolk","Outaouais (07)",480,59.4
"Sainte-Monique","Centre-du-Québec (17)",518,59.4
"Sainte-Monique","Saguenay--Lac-Saint-Jean (02)",863,163.5
"Sainte-Paule","Bas-Saint-Laurent (01)",245,88.2
"Sainte-Perpétue","Chaudière-Appalaches (12)",1588,293.6
"Sainte-Perpétue","Centre-du-Québec (17)",981,71.5
"Sainte-Pétronille","Capitale-Nationale (03)",1086,4.3
"Saint-Éphrem-de-Beauce","Chaudière-Appalaches (12)",2381,118.9
"Saint-Épiphane","Bas-Saint-Laurent (01)",839,82.8
"Sainte-Praxède","Chaudière-Appalaches (12)",315,155.1
"Sainte-Rita","Bas-Saint-Laurent (01)",294,132.5
"Sainte-Rose-de-Watford","Chaudière-Appalaches (12)",730,115.8
"Sainte-Rose-du-Nord","Saguenay--Lac-Saint-Jean (02)",414,157.7
"Sainte-Sabine","Montérégie (16)",1103,55.2
"Sainte-Sabine","Chaudière-Appalaches (12)",353,68.1
"Sainte-Séraphine","Centre-du-Québec (17)",372,76
"Sainte-Sophie","Laurentides (15)",17184,111.5
"Sainte-Sophie-de-Lévrard","Centre-du-Québec (17)",698,82.3
"Sainte-Sophie-d'Halifax","Centre-du-Québec (17)",584,92.3
"Saint-Esprit","Lanaudière (14)",2014,54.6
"Sainte-Thècle","Mauricie (04)",2429,221.5
"Sainte-Thérèse","Laurentides (15)",26460,9.4
"Sainte-Thérèse-de-Gaspé","Gaspésie--Îles-de-la-Madeleine (11)",995,34.9
"Sainte-Thérèse-de-la-Gatineau","Outaouais (07)",558,79.4
"Saint-Étienne-de-Beauharnois","Montérégie (16)",957,41.4
"Saint-Étienne-de-Bolton","Estrie (05)",735,48.8
"Saint-Étienne-des-Grès","Mauricie (04)",4636,105.9
"Saint-Eugène","Centre-du-Québec (17)",1138,76.3
"Saint-Eugène-d'Argentenay","Saguenay--Lac-Saint-Jean (02)",457,87.2
"Saint-Eugène-de-Guigues","Abitibi-Témiscamingue (08)",456,116.6
"Saint-Eugène-de-Ladrière","Bas-Saint-Laurent (01)",393,356
"Sainte-Ursule","Mauricie (04)",1345,68.4
"Saint-Eusèbe","Bas-Saint-Laurent (01)",587,131.3
"Saint-Eustache","Laurentides (15)",45230,72.4
"Saint-Évariste-de-Forsyth","Chaudière-Appalaches (12)",566,112
"Sainte-Victoire-de-Sorel","Montérégie (16)",2478,76.3
"Saint-Fabien","Bas-Saint-Laurent (01)",1799,125.1
"Saint-Fabien-de-Panet","Chaudière-Appalaches (12)",925,188.9
"Saint-Faustin--Lac-Carré","Laurentides (15)",3584,128.9
"Saint-Félicien","Saguenay--Lac-Saint-Jean (02)",10266,387.2
"Saint-Félix-de-Dalquier","Abitibi-Témiscamingue (08)",939,113.8
"Saint-Félix-de-Kingsey","Centre-du-Québec (17)",1468,127.9
"Saint-Félix-de-Valois","Lanaudière (14)",6682,89.8
"Saint-Félix-d'Otis","Saguenay--Lac-Saint-Jean (02)",1009,279.9
"Saint-Ferdinand","Centre-du-Québec (17)",2050,142.7
"Saint-Ferréol-les-Neiges","Capitale-Nationale (03)",3462,85
"Saint-Flavien","Chaudière-Appalaches (12)",1624,65.9
"Saint-Fortunat","Chaudière-Appalaches (12)",262,76.5
"Saint-François-d'Assise","Gaspésie--Îles-de-la-Madeleine (11)",631,179.8
"Saint-François-de-la-Rivière-du-Sud","Chaudière-Appalaches (12)",1627,97
"Saint-François-de-l'Île-d'Orléans","Capitale-Nationale (03)",569,103.2
"Saint-François-de-Sales","Saguenay--Lac-Saint-Jean (02)",628,203.3
"Saint-François-du-Lac","Centre-du-Québec (17)",1966,83.6
"Saint-François-Xavier-de-Brompton","Estrie (05)",2387,98.7
"Saint-François-Xavier-de-Viger","Bas-Saint-Laurent (01)",249,112.9
"Saint-Frédéric","Chaudière-Appalaches (12)",1076,72.4
"Saint-Fulgence","Saguenay--Lac-Saint-Jean (02)",2113,394.1
"Saint-Gabriel","Lanaudière (14)",2673,12.7
"Saint-Gabriel-de-Brandon","Lanaudière (14)",2654,101.2
"Saint-Gabriel-de-Rimouski","Bas-Saint-Laurent (01)",1149,129.4
"Saint-Gabriel-de-Valcartier","Capitale-Nationale (03)",3560,447.5
"Saint-Gabriel-Lalemant","Bas-Saint-Laurent (01)",695,79.2
"Saint-Gédéon","Saguenay--Lac-Saint-Jean (02)",2164,83.5
"Saint-Gédéon-de-Beauce","Chaudière-Appalaches (12)",2157,200.2
"Saint-Georges","Chaudière-Appalaches (12)",33348,202.5
"Saint-Georges-de-Clarenceville","Montérégie (16)",1160,81.3
"Saint-Georges-de-Windsor","Estrie (05)",958,127.8
"Saint-Gérard-Majella","Montérégie (16)",230,37.8
"Saint-Germain","Bas-Saint-Laurent (01)",283,92.3
"Saint-Germain-de-Grantham","Centre-du-Québec (17)",4979,87.6
"Saint-Gervais","Chaudière-Appalaches (12)",2197,90.2
"Saint-Gilbert","Capitale-Nationale (03)",297,37.8
"Saint-Gilles","Chaudière-Appalaches (12)",2686,181.2
"Saint-Godefroi","Gaspésie--Îles-de-la-Madeleine (11)",335,64
"Saint-Guillaume","Centre-du-Québec (17)",1486,88.4
"Saint-Guy","Bas-Saint-Laurent (01)",53,144.2
"Saint-Henri","Chaudière-Appalaches (12)",5705,124.6
"Saint-Henri-de-Taillon","Saguenay--Lac-Saint-Jean (02)",877,62.8
"Saint-Herménégilde","Estrie (05)",704,168.4
"Saint-Hilaire-de-Dorset","Chaudière-Appalaches (12)",99,189.3
"Saint-Hilarion","Capitale-Nationale (03)",1118,101.2
"Saint-Hippolyte","Laurentides (15)",9886,132.7
"Saint-Honoré","Saguenay--Lac-Saint-Jean (02)",6026,192.6
"Saint-Honoré-de-Shenley","Chaudière-Appalaches (12)",1548,133.7
"Saint-Honoré-de-Témiscouata","Bas-Saint-Laurent (01)",736,263.5
"Saint-Hubert-de-Rivière-du-Loup","Bas-Saint-Laurent (01)",1350,199.3
"Saint-Hugues","Montérégie (16)",1352,85.9
"Saint-Hyacinthe","Montérégie (16)",56886,191.3
"Saint-Ignace-de-Loyola","Lanaudière (14)",2054,72.8
"Saint-Ignace-de-Stanbridge","Montérégie (16)",699,69.6
"Saint-Irénée","Capitale-Nationale (03)",652,154.4
"Saint-Isidore","Montérégie (16)",2710,52
"Saint-Isidore","Chaudière-Appalaches (12)",3072,102.7
"Saint-Isidore-de-Clifton","Estrie (05)",666,177.9
"Saint-Jacques","Lanaudière (14)",4148,67.2
"Saint-Jacques-de-Leeds","Chaudière-Appalaches (12)",681,83.1
"Saint-Jacques-le-Mineur","Montérégie (16)",1922,67.7
"Saint-Jacques-le-Majeur-de-Wolfestown","Chaudière-Appalaches (12)",178,61.7
"Saint-Janvier-de-Joly","Chaudière-Appalaches (12)",1043,111.6
"Saint-Jean-Baptiste","Montérégie (16)",3203,72.9
"Saint-Jean-de-Brébeuf","Chaudière-Appalaches (12)",363,79.2
"Saint-Jean-de-Cherbourg","Bas-Saint-Laurent (01)",168,113.9
"Saint-Jean-de-Dieu","Bas-Saint-Laurent (01)",1596,152.9
"Saint-Jean-de-la-Lande","Bas-Saint-Laurent (01)",240,109.5
"Saint-Jean-de-l'Île-d'Orléans","Capitale-Nationale (03)",1253,43.6
"Saint-Jean-de-Matha","Lanaudière (14)",4517,112.6
"Saint-Jean-Port-Joli","Chaudière-Appalaches (12)",3418,242.1
"Saint-Jean-sur-Richelieu","Montérégie (16)",98036,233.7
"Saint-Jérôme","Laurentides (15)",78839,92.4
"Saint-Joachim","Capitale-Nationale (03)",1415,48.1
"Saint-Joachim-de-Shefford","Montérégie (16)",1369,128.9
"Saint-Joseph-de-Beauce","Chaudière-Appalaches (12)",4891,116
"Saint-Joseph-de-Coleraine","Chaudière-Appalaches (12)",1718,134.4
"Saint-Joseph-de-Kamouraska","Bas-Saint-Laurent (01)",391,86.9
"Saint-Joseph-de-Lepage","Bas-Saint-Laurent (01)",539,32.1
"Saint-Joseph-des-Érables","Chaudière-Appalaches (12)",412,52.5
"Saint-Joseph-de-Sorel","Montérégie (16)",1608,3.3
"Saint-Joseph-du-Lac","Laurentides (15)",7078,41.8
"Saint-Jude","Montérégie (16)",1352,77.8
"Saint-Jules","Chaudière-Appalaches (12)",550,55.8
"Saint-Julien","Chaudière-Appalaches (12)",368,82.7
"Saint-Just-de-Bretenières","Chaudière-Appalaches (12)",656,133.5
"Saint-Juste-du-Lac","Bas-Saint-Laurent (01)",574,189.3
"Saint-Justin","Mauricie (04)",994,79.9
"Saint-Lambert","Abitibi-Témiscamingue (08)",197,101.3
"Saint-Lambert","Montérégie (16)",22725,10.1
"Saint-Lambert-de-Lauzon","Chaudière-Appalaches (12)",6762,109.8
"Saint-Laurent-de-l'Île-d'Orléans","Capitale-Nationale (03)",1812,35.1
"Saint-Lazare","Montérégie (16)",21250,67.5
"Saint-Lazare-de-Bellechasse","Chaudière-Appalaches (12)",1319,86
"Saint-Léandre","Bas-Saint-Laurent (01)",366,105.8
"Saint-Léonard-d'Aston","Centre-du-Québec (17)",2449,85.4
"Saint-Léonard-de-Portneuf","Capitale-Nationale (03)",1132,145.7
"Saint-Léon-de-Standon","Chaudière-Appalaches (12)",1110,137.7
"Saint-Léon-le-Grand","Bas-Saint-Laurent (01)",946,129.5
"Saint-Léon-le-Grand","Mauricie (04)",923,75.7
"Saint-Liboire","Montérégie (16)",3066,75.1
"Saint-Liguori","Lanaudière (14)",2017,51.798
"Saint-Lin--Laurentides","Lanaudière (14)",22663,118.7
"Saint-Louis","Montérégie (16)",717,48.4
"Saint-Louis-de-Gonzague-du-Cap-Tourmente","Capitale-Nationale (03)",2,0.5
"Saint-Louis-de-Blandford","Centre-du-Québec (17)",1139,107.5
"Saint-Louis-de-Gonzague","Montérégie (16)",1669,89.1
"Saint-Louis-de-Gonzague","Chaudière-Appalaches (12)",362,118.5
"Saint-Louis-du-Ha! Ha!","Bas-Saint-Laurent (01)",1248,111.1
"Saint-Luc-de-Bellechasse","Chaudière-Appalaches (12)",435,159.9
"Saint-Luc-de-Vincennes","Mauricie (04)",558,54.3
"Saint-Lucien","Centre-du-Québec (17)",1749,114.9
"Saint-Ludger","Estrie (05)",1045,128.5
"Saint-Ludger-de-Milot","Saguenay--Lac-Saint-Jean (02)",631,112.3
"Saint-Magloire","Chaudière-Appalaches (12)",656,210.5
"Saint-Majorique-de-Grantham","Centre-du-Québec (17)",1391,59
"Saint-Malachie","Chaudière-Appalaches (12)",1527,102
"Saint-Malo","Estrie (05)",480,132.5
"Saint-Marc-de-Figuery","Abitibi-Témiscamingue (08)",891,92.8
"Saint-Marc-des-Carrières","Capitale-Nationale (03)",2936,17.7
"Saint-Marc-du-Lac-Long","Bas-Saint-Laurent (01)",385,156.8
"Saint-Marcel","Chaudière-Appalaches (12)",418,181
"Saint-Marcel-de-Richelieu","Montérégie (16)",519,51.3
"Saint-Marcellin","Bas-Saint-Laurent (01)",345,121
"Saint-Marc-sur-Richelieu","Montérégie (16)",2187,62.6
"Saint-Martin","Chaudière-Appalaches (12)",2550,119.6
"Saint-Mathias-sur-Richelieu","Montérégie (16)",4539,50
"Saint-Mathieu","Montérégie (16)",2322,31.4
"Saint-Mathieu-de-Beloeil","Montérégie (16)",2646,39.1
"Saint-Mathieu-de-Rioux","Bas-Saint-Laurent (01)",663,117
