"munnom","regadm","mpopul","msuperf"
"Clermont","Capitale-Nationale (03)",3053,52.6
"Clerval","Abitibi-Témiscamingue (08)",391,130.9
"Cleveland","Estrie (05)",1552,124
"Cloridorme","Gaspésie--Îles-de-la-Madeleine (11)",626,161.4
"Coaticook","Estrie (05)",8909,222.7
"Colombier","Côte-Nord (09)",674,386.4
"Compton","Estrie (05)",3174,207.6
"Contrecoeur","Montérégie (16)",8989,88.2
"Cookshire-Eaton","Estrie (05)",5432,298
"Coteau-du-Lac","Montérégie (16)",7221,57.1
"Côte-Nord-du-Golfe-du-Saint-Laurent","Côte-Nord (09)",831,3061.9
"Côte-Saint-Luc","Montréal (06)",34761,6.8
"Courcelles","Estrie (05)",782,91.5
"Cowansville","Montérégie (16)",14727,48.5
"Crabtree","Lanaudière (14)",4079,26.002
"Danville","Estrie (05)",3833,153.5
"Daveluyville","Centre-du-Québec (17)",2336,62.8
"Dégelis","Bas-Saint-Laurent (01)",2826,571.4
"Déléage","Outaouais (07)",1862,263.4
"Delson","Montérégie (16)",8141,7.7
"Denholm","Outaouais (07)",489,197.7
"Desbiens","Saguenay--Lac-Saint-Jean (02)",1007,11.2
"Deschaillons-sur-Saint-Laurent","Centre-du-Québec (17)",872,51.8
"Deschambault-Grondines","Capitale-Nationale (03)",2246,152.4
"Deux-Montagnes","Laurentides (15)",17998,7.3
"Disraeli","Chaudière-Appalaches (12)",1138,97.5
"Disraeli","Chaudière-Appalaches (12)",2374,8.3
"Dixville","Estrie (05)",714,76.9
"Dolbeau-Mistassini","Saguenay--Lac-Saint-Jean (02)",14039,359
"Dollard-Des Ormeaux","Montréal (06)",50453,15.1
"Donnacona","Capitale-Nationale (03)",7337,37.4
"Dorval","Montréal (06)",20040,29.1
"Dosquet","Chaudière-Appalaches (12)",982,64.6
"Drummondville","Centre-du-Québec (17)",78345,259.6
"Dudswell","Estrie (05)",1794,223.3
"Duhamel","Outaouais (07)",433,478.5
"Duhamel-Ouest","Abitibi-Témiscamingue (08)",879,128.8
"Dundee","Montérégie (16)",372,84
"Dunham","Montérégie (16)",3524,195.5
"Duparquet","Abitibi-Témiscamingue (08)",688,156.4
"Dupuy","Abitibi-Témiscamingue (08)",907,122.7
"Durham-Sud","Centre-du-Québec (17)",1082,92.5
"East Angus","Estrie (05)",3826,8.3
"East Broughton","Chaudière-Appalaches (12)",2192,8.7
"East Farnham","Montérégie (16)",576,5
"East Hereford","Estrie (05)",264,72.9
"Eastmain","Nord-du-Québec (10)",0,335.1
"Eastman","Estrie (05)",2069,77.1
"Egan-Sud","Outaouais (07)",502,51
"Elgin","Montérégie (16)",399,69.5
"Entrelacs","Lanaudière (14)",916,56.1
"Escuminac","Gaspésie--Îles-de-la-Madeleine (11)",539,108.3
"Esprit-Saint","Bas-Saint-Laurent (01)",326,170.5
"Estérel","Laurentides (15)",205,16.6
"Farnham","Montérégie (16)",9604,93.9
"Fassett","Outaouais (07)",448,14.8
"Ferland-et-Boilleau","Saguenay--Lac-Saint-Jean (02)",565,410
"Ferme-Neuve","Laurentides (15)",2740,876.3
"Fermont","Côte-Nord (09)",2455,503.1
"Forestville","Côte-Nord (09)",2929,244.4
"Fort-Coulonge","Outaouais (07)",1382,3.2
"Fortierville","Centre-du-Québec (17)",651,44.5
"Fossambault-sur-le-Lac","Capitale-Nationale (03)",2092,13.7
"Frampton","Chaudière-Appalaches (12)",1301,151.7
"Franklin","Montérégie (16)",1678,112.8
"Franquelin","Côte-Nord (09)",290,522
"Frelighsburg","Montérégie (16)",1144,124
"Frontenac","Estrie (05)",1763,244.6
"Fugèreville","Abitibi-Témiscamingue (08)",316,169.1
"Gallichan","Abitibi-Témiscamingue (08)",490,98.3
"Gaspé","Gaspésie--Îles-de-la-Madeleine (11)",15179,1356.2
"Gatineau","Outaouais (07)",286755,380.6
"Girardville","Saguenay--Lac-Saint-Jean (02)",986,134.5
"Godbout","Côte-Nord (09)",254,204.6
"Godmanchester","Montérégie (16)",1423,138.5
"Gore","Laurentides (15)",1969,96.4
"Gouvernement régional d'Eeyou Istchee Baie-James","Nord-du-Québec (10)",1079,274612.4
"Gracefield","Outaouais (07)",2458,455.3
"Granby","Montérégie (16)",68599,155.7
"Grande-Rivière","Gaspésie--Îles-de-la-Madeleine (11)",3429,105.9
"Grandes-Piles","Mauricie (04)",445,120.3
"Grande-Vallée","Gaspésie--Îles-de-la-Madeleine (11)",1060,144.9
"Grand-Métis","Bas-Saint-Laurent (01)",210,25.5
"Grand-Remous","Outaouais (07)",1147,509.9
"Grand-Saint-Esprit","Centre-du-Québec (17)",484,27.3
"Grenville","Laurentides (15)",1787,3.1
"Grenville-sur-la-Rouge","Laurentides (15)",2841,329.3
"Gros-Mécatina","Côte-Nord (09)",424,1407
"Grosse-Île","Gaspésie--Îles-de-la-Madeleine (11)",469,97.5
"Grosses-Roches","Bas-Saint-Laurent (01)",381,63.9
"Guérin","Abitibi-Témiscamingue (08)",332,208.4
"Ham-Nord","Centre-du-Québec (17)",872,104.6
"Hampden","Estrie (05)",181,111.9
"Hampstead","Montréal (06)",7350,1.8
"Ham-Sud","Estrie (05)",232,152.1
"Harrington","Laurentides (15)",840,249.7
"Hatley","Estrie (05)",689,66.3
"Hatley","Estrie (05)",2188,74.1
"Havelock","Montérégie (16)",747,89
"Havre-Saint-Pierre","Côte-Nord (09)",3395,3932.3
"Hébertville","Saguenay--Lac-Saint-Jean (02)",2564,269.6
"Hébertville-Station","Saguenay--Lac-Saint-Jean (02)",1301,33.4
"Hemmingford","Montérégie (16)",2003,157.3
"Hemmingford","Montérégie (16)",797,1.1
"Henryville","Montérégie (16)",1436,69.3
"Hérouxville","Mauricie (04)",1311,53.4
"Hinchinbrooke","Montérégie (16)",2141,149.7
"Honfleur","Chaudière-Appalaches (12)",882,50.8
"Hope","Gaspésie--Îles-de-la-Madeleine (11)",580,71.2
"Hope Town","Gaspésie--Îles-de-la-Madeleine (11)",363,51.4
"Howick","Montérégie (16)",817,1
"Huberdeau","Laurentides (15)",889,59.7
"Hudson","Montérégie (16)",5292,36.4
"Huntingdon","Montérégie (16)",2511,2.9
"Inukjuak","Nord-du-Québec (10)",1887,64.8
"Inverness","Centre-du-Québec (17)",902,179.9
"Irlande","Chaudière-Appalaches (12)",869,111.9
"Ivry-sur-le-Lac","Laurentides (15)",370,34.7
"Ivujivik","Nord-du-Québec (10)",460,37
"Joliette","Lanaudière (14)",21136,23.8
"Kamouraska","Bas-Saint-Laurent (01)",609,146.3
"Kangiqsualujjuaq","Nord-du-Québec (10)",1028,35.6
"Kangiqsujuaq","Nord-du-Québec (10)",832,12.5
"Kangirsuk","Nord-du-Québec (10)",594,59.7
"Kawawachikamach","Nord-du-Québec (10)",0,284.9
"Kazabazua","Outaouais (07)",978,182.2
"Kiamika","Laurentides (15)",791,362.9
"Kingsbury","Estrie (05)",139,7.1
"Kingsey Falls","Centre-du-Québec (17)",1902,70.5
"Kinnear's Mills","Chaudière-Appalaches (12)",359,93.6
"Kipawa","Abitibi-Témiscamingue (08)",484,46.8
"Kirkland","Montréal (06)",20298,9.6
"Kuujjuaq","Nord-du-Québec (10)",2862,388.5
"Kuujjuarapik","Nord-du-Québec (10)",722,7.1
"La Bostonnais","Mauricie (04)",605,290.8
"La Conception","Laurentides (15)",1370,141.2
"La Corne","Abitibi-Témiscamingue (08)",749,332.3
"La Doré","Saguenay--Lac-Saint-Jean (02)",1386,299.9
"La Durantaye","Chaudière-Appalaches (12)",781,34.4
"La Guadeloupe","Chaudière-Appalaches (12)",1774,32.7
"La Macaza","Laurentides (15)",1087,175.9
"La Malbaie","Capitale-Nationale (03)",8164,697.5
"La Martre","Gaspésie--Îles-de-la-Madeleine (11)",216,179.1
"La Minerve","Laurentides (15)",1231,328.3
"La Morandière","Abitibi-Témiscamingue (08)",204,425.4
"La Motte","Abitibi-Témiscamingue (08)",444,216.1
"La Patrie","Estrie (05)",793,206.2
"La Pêche","Outaouais (07)",8153,616.4
"La Pocatière","Bas-Saint-Laurent (01)",4040,21.3
"La Prairie","Montérégie (16)",26192,54.7
"La Présentation","Montérégie (16)",2463,94.7
"La Rédemption","Bas-Saint-Laurent (01)",429,118.5
"La Reine","Abitibi-Témiscamingue (08)",351,98.5
"La Sarre","Abitibi-Témiscamingue (08)",7319,153.2
"La Trinité-des-Monts","Bas-Saint-Laurent (01)",229,236.6
"La Tuque","Mauricie (04)",10933,28293.7
"La Visitation-de-l'Île-Dupas","Lanaudière (14)",630,37.3
"La Visitation-de-Yamaska","Centre-du-Québec (17)",325,43.6
"Labelle","Laurentides (15)",2423,215.9
